empathy,augmented_flag,rationales,first_rationale,longest_rationale
1,0,What do you enjoy doing in your free time.|,What do you enjoy doing in your free time.,What do you enjoy doing in your free time.
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,What are you getting into?|,What are you getting into?,What are you getting into?
1,0,Atleast your not buying hard drugs right ?|,Atleast your not buying hard drugs right ?,Atleast your not buying hard drugs right ?
1,0,Can you open-up a bit to explain? What's the matter?|,Can you open-up a bit to explain? What's the matter?,Can you open-up a bit to explain? What's the matter?
1,0,Did you hang out with other people?|,Did you hang out with other people?,Did you hang out with other people?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Have you tried doing the things you like anyway? Maybe the happiness comes back after some time.|,Have you tried doing the things you like anyway? Maybe the happiness comes back after some time.,Have you tried doing the things you like anyway? Maybe the happiness comes back after some time.
1,0,Do you respect those people who changed you in your life?|Do you respect them enough to keep them with you?|,Do you respect those people who changed you in your life?,Do you respect those people who changed you in your life?
1,0,Were you able to finish the cookies?|,Were you able to finish the cookies?,Were you able to finish the cookies?
0,0,,,
0,0,,,
1,0,"Do you like art? Reading? Movies?|have you thought about possibly making a schedule for yourself so you can find time to do group activities?|Also, with the drinking and drugs, do you have time for that or is that during work hours?|",Do you like art? Reading? Movies?,have you thought about possibly making a schedule for yourself so you can find time to do group activities?
1,0,Be rid of it? Or get better at handling it? Did it come out of nowhere? Or have you had it for a while?|,Be rid of it? Or get better at handling it? Did it come out of nowhere? Or have you had it for a while?,Be rid of it? Or get better at handling it? Did it come out of nowhere? Or have you had it for a while?
1,0,Imagine someone texting you and saying|,Imagine someone texting you and saying,Imagine someone texting you and saying
0,0,,,
0,0,,,
1,0,What seems to be weighing you down lately?|,What seems to be weighing you down lately?,What seems to be weighing you down lately?
0,0,,,
1,0,Freshman in high school or college?|,Freshman in high school or college?,Freshman in high school or college?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Do you have anyone you can call?|,Do you have anyone you can call?,Do you have anyone you can call?
1,0,How's your diet?|How are you doing socially?|,How's your diet?,How are you doing socially?
1,0,"If you feel like you have nothing else and have tried the alternatives such as meds and therapy, what would it hurt to try? What would you be leaving behind? Are there alternatives? Do you have a plan for when you got there?|","If you feel like you have nothing else and have tried the alternatives such as meds and therapy, what would it hurt to try? What would you be leaving behind? Are there alternatives? Do you have a plan for when you got there?","If you feel like you have nothing else and have tried the alternatives such as meds and therapy, what would it hurt to try? What would you be leaving behind? Are there alternatives? Do you have a plan for when you got there?"
1,0,Is that really so bad?|,Is that really so bad?,Is that really so bad?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,"If you are hungry, you can kill that guy eating a taco and then eat the taco for yourself. It may be important to consider the long-term effects: how does that anger affect the long-term goals? What are your long-term goals with them?|","If you are hungry, you can kill that guy eating a taco and then eat the taco for yourself. It may be important to consider the long-term effects: how does that anger affect the long-term goals? What are your long-term goals with them?","If you are hungry, you can kill that guy eating a taco and then eat the taco for yourself. It may be important to consider the long-term effects: how does that anger affect the long-term goals? What are your long-term goals with them?"
0,0,,,
1,0,Why not try and get to know some of us?|,Why not try and get to know some of us?,Why not try and get to know some of us?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,In what way?|,In what way?,In what way?
1,0,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?|,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?
1,0,What's up?|,What's up?,What's up?
1,0,Have you used indeed.com before?|,Have you used indeed.com before?,Have you used indeed.com before?
0,0,,,
0,0,,,
1,0,Have you thought about taking a sleep aid?|,Have you thought about taking a sleep aid?,Have you thought about taking a sleep aid?
1,0,Is it an alarm problem or a|,Is it an alarm problem or a,Is it an alarm problem or a
1,0,How long have you been thinking about this?|,How long have you been thinking about this?,How long have you been thinking about this?
0,0,,,
1,0,why is life painful for you . you have someone who loves you ? is there voices saying things to you ?|,why is life painful for you . you have someone who loves you ? is there voices saying things to you ?,why is life painful for you . you have someone who loves you ? is there voices saying things to you ?
0,0,,,
0,0,,,
0,0,,,
1,0,What kind of things interest you?|,What kind of things interest you?,What kind of things interest you?
1,0,How did you manage that?|,How did you manage that?,How did you manage that?
0,0,,,
1,0,What's going on at the moment that is making you so upset?|,What's going on at the moment that is making you so upset?,What's going on at the moment that is making you so upset?
1,0,Why dont you try to talk to your girlfriend|,Why dont you try to talk to your girlfriend,Why dont you try to talk to your girlfriend
0,0,,,
0,0,,,
1,0,Kind of like you're a walking zombie?|,Kind of like you're a walking zombie?,Kind of like you're a walking zombie?
1,0,isnt there really anything you can do about your desperate situation?|,isnt there really anything you can do about your desperate situation?,isnt there really anything you can do about your desperate situation?
0,0,,,
1,0,What do you feel is bringing on said troubling thoughts?|,What do you feel is bringing on said troubling thoughts?,What do you feel is bringing on said troubling thoughts?
0,0,,,
0,0,,,
1,0,Is it the feeling or the visual that eases you?|,Is it the feeling or the visual that eases you?,Is it the feeling or the visual that eases you?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,How did the trauma come about?|,How did the trauma come about?,How did the trauma come about?
0,0,,,
1,0,What are your reasons?|,What are your reasons?,What are your reasons?
1,0,Does it matter at that point what I want?|,Does it matter at that point what I want?,Does it matter at that point what I want?
1,0,How do you know that?|,How do you know that?,How do you know that?
1,0,What are your goals?|,What are your goals?,What are your goals?
0,0,,,
0,0,,,
0,0,,,
1,0,Have you watched Samurai Champloo?|,Have you watched Samurai Champloo?,Have you watched Samurai Champloo?
0,0,,,
1,0,Does it hurt more than cutting?|,Does it hurt more than cutting?,Does it hurt more than cutting?
1,0,What makes you think that you waste your time in your cause? Has someone ever told you that? Or is it more of your personal opinion?|,What makes you think that you waste your time in your cause? Has someone ever told you that? Or is it more of your personal opinion?,What makes you think that you waste your time in your cause? Has someone ever told you that? Or is it more of your personal opinion?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Do you write?|,Do you write?,Do you write?
1,0,Would you like to quit drinking?|,Would you like to quit drinking?,Would you like to quit drinking?
1,0,What about suicide do you find difficult?|,What about suicide do you find difficult?,What about suicide do you find difficult?
0,0,,,
0,0,,,
1,0,What would you want your parents to change about what they do?|,What would you want your parents to change about what they do?,What would you want your parents to change about what they do?
0,0,,,
0,0,,,
1,0,Can you give a bit more of context to your description?|,Can you give a bit more of context to your description?,Can you give a bit more of context to your description?
0,0,,,
0,0,,,
1,0,What happened?|,What happened?,What happened?
0,0,,,
0,0,,,
1,0,Why u feeling like this?? the cause|,Why u feeling like this?? the cause,Why u feeling like this?? the cause
0,0,,,
0,0,,,
0,0,,,
1,0,What's next in the life master plan?|,What's next in the life master plan?,What's next in the life master plan?
0,0,,,
0,0,,,
1,0,does it happen for a reason?|,does it happen for a reason?,does it happen for a reason?
1,0,Have you seek treatment?|,Have you seek treatment?,Have you seek treatment?
1,0,Do you mind sharing your playlist?|,Do you mind sharing your playlist?,Do you mind sharing your playlist?
0,0,,,
1,0,Care to extrapolate on some positive examples of your brain rewiring?|,Care to extrapolate on some positive examples of your brain rewiring?,Care to extrapolate on some positive examples of your brain rewiring?
1,0,"Like there is nothing that would lift your spirits, if only for a day?|","Like there is nothing that would lift your spirits, if only for a day?","Like there is nothing that would lift your spirits, if only for a day?"
0,0,,,
0,0,,,
0,0,,,
1,0,in what way do people bother you. Like they personally go out of their way or you mean like everyone including random people annoy you?|,in what way do people bother you. Like they personally go out of their way or you mean like everyone including random people annoy you?,in what way do people bother you. Like they personally go out of their way or you mean like everyone including random people annoy you?
1,0,"What was the end result of the conversation you had with them?|Was everyone impacted there?|Was there an explicit apology and acceptance of that apology?|When you say that you think things are cool now, what are you basing that off of?|",What was the end result of the conversation you had with them?,"When you say that you think things are cool now, what are you basing that off of?"
1,0,Is there anything triggering this currently that you can think of? How long have you felt this way?|,Is there anything triggering this currently that you can think of? How long have you felt this way?,Is there anything triggering this currently that you can think of? How long have you felt this way?
1,0,Have you guys been dating for awhile?|,Have you guys been dating for awhile?,Have you guys been dating for awhile?
0,0,,,
0,0,,,
1,0,Why did you refuse meds?|,Why did you refuse meds?,Why did you refuse meds?
1,0,are we the same person?|,are we the same person?,are we the same person?
1,0,How do you get that addiction?|,How do you get that addiction?,How do you get that addiction?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,"And don't hesitate to reply with an update later, yeah?|","And don't hesitate to reply with an update later, yeah?","And don't hesitate to reply with an update later, yeah?"
1,0,Do you have anyone in your life whom you trust enough to talk to about how you're feeling?|,Do you have anyone in your life whom you trust enough to talk to about how you're feeling?,Do you have anyone in your life whom you trust enough to talk to about how you're feeling?
0,0,,,
0,0,,,
1,0,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?|,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?
0,0,,,
0,0,,,
1,0,Have you tried talking to a counselor at all?|,Have you tried talking to a counselor at all?,Have you tried talking to a counselor at all?
1,0,Maybe because you crave for very meaningful relationships?|,Maybe because you crave for very meaningful relationships?,Maybe because you crave for very meaningful relationships?
1,0,Would you feel better (1) sticking to a renewed promise to not drink and thus having to forego drinking every time you feel the need in the future or (2) abandoning your promise and dealing with whatever direct and indirect harm befalls you from the drinking?|,Would you feel better (1) sticking to a renewed promise to not drink and thus having to forego drinking every time you feel the need in the future or (2) abandoning your promise and dealing with whatever direct and indirect harm befalls you from the drinking?,Would you feel better (1) sticking to a renewed promise to not drink and thus having to forego drinking every time you feel the need in the future or (2) abandoning your promise and dealing with whatever direct and indirect harm befalls you from the drinking?
1,0,It seemed like you're upset because the only dinner options are meat?|,It seemed like you're upset because the only dinner options are meat?,It seemed like you're upset because the only dinner options are meat?
1,0,"Look at it this way, if your at he bottom now, it only goes up from here right?|","Look at it this way, if your at he bottom now, it only goes up from here right?","Look at it this way, if your at he bottom now, it only goes up from here right?"
1,0,What day is your birthday?|Do we have the same birthday?|,What day is your birthday?,Do we have the same birthday?
1,0,Are you just into pain?|,Are you just into pain?,Are you just into pain?
0,0,,,
1,0,do you have any hobbies?|,do you have any hobbies?,do you have any hobbies?
0,0,,,
1,0,Have you been to see student support?|,Have you been to see student support?,Have you been to see student support?
0,0,,,
0,0,,,
1,0,That's a bit dark. How did you get here?|,That's a bit dark. How did you get here?,That's a bit dark. How did you get here?
0,0,,,
1,0,Can you talk about whats going on in your head?|,Can you talk about whats going on in your head?,Can you talk about whats going on in your head?
1,0,What's the deal with the hotline thing?|,What's the deal with the hotline thing?,What's the deal with the hotline thing?
1,0,"When it comes to trust in humans, it comes down to expectations. What are your expectations?|","When it comes to trust in humans, it comes down to expectations. What are your expectations?","When it comes to trust in humans, it comes down to expectations. What are your expectations?"
1,0,Do you care about excitement at all or no?|,Do you care about excitement at all or no?,Do you care about excitement at all or no?
1,0,do you not know what you're doing in regards to a specific section of your life? Like school or work?|,do you not know what you're doing in regards to a specific section of your life? Like school or work?,do you not know what you're doing in regards to a specific section of your life? Like school or work?
0,0,,,
1,0,"What were you like as a child? Were you high-achieving back then as well, and did you feel a pressure to do well in any aspect?|","What were you like as a child? Were you high-achieving back then as well, and did you feel a pressure to do well in any aspect?","What were you like as a child? Were you high-achieving back then as well, and did you feel a pressure to do well in any aspect?"
0,0,,,
0,0,,,
1,0,How are you doing today?|,How are you doing today?,How are you doing today?
0,0,,,
1,0,If you mind me asking what is the dosage your on for them?|,If you mind me asking what is the dosage your on for them?,If you mind me asking what is the dosage your on for them?
0,0,,,
0,0,,,
0,0,,,
1,0,"After all, how pathetic is it to want something and be sad because we can't have it?|","After all, how pathetic is it to want something and be sad because we can't have it?","After all, how pathetic is it to want something and be sad because we can't have it?"
0,0,,,
0,0,,,
1,0,How long have you back feeling depressed for?|,How long have you back feeling depressed for?,How long have you back feeling depressed for?
1,0,But subs like /r/dragonsfuckingcars totally don't right?|,But subs like /r/dragonsfuckingcars totally don't right?,But subs like /r/dragonsfuckingcars totally don't right?
1,0,Do you mind if I ask why?|,Do you mind if I ask why?,Do you mind if I ask why?
0,0,,,
1,0,Why Bro?|. But why?|,Why Bro?,. But why?
1,0,Do you have any friends that aren't always going to blow sunshine up your ass or a therapist?|,Do you have any friends that aren't always going to blow sunshine up your ass or a therapist?,Do you have any friends that aren't always going to blow sunshine up your ass or a therapist?
1,0,Is there anywhere else you can go? A shelter or a friend's house or move in with a sibling or something?|,Is there anywhere else you can go? A shelter or a friend's house or move in with a sibling or something?,Is there anywhere else you can go? A shelter or a friend's house or move in with a sibling or something?
1,0,Are the problems you have permanent or out of your control? 2. Have you talked with all of your friends and family or a therapist?|,Are the problems you have permanent or out of your control? 2. Have you talked with all of your friends and family or a therapist?,Are the problems you have permanent or out of your control? 2. Have you talked with all of your friends and family or a therapist?
1,0,Why can't you ask your parents for help?|,Why can't you ask your parents for help?,Why can't you ask your parents for help?
1,0,What can we do today that will help?|,What can we do today that will help?,What can we do today that will help?
1,0,What kind of stuff do you like?|,What kind of stuff do you like?,What kind of stuff do you like?
0,0,,,
1,0,Were you close?|,Were you close?,Were you close?
0,0,,,
1,0,Maybe you can find a room mate or something ?|,Maybe you can find a room mate or something ?,Maybe you can find a room mate or something ?
1,0,Any family that can help you?|,Any family that can help you?,Any family that can help you?
1,0,Have you been smoking since long?|,Have you been smoking since long?,Have you been smoking since long?
0,0,,,
0,0,,,
1,0,What would you do all day at home?|,What would you do all day at home?,What would you do all day at home?
0,0,,,
0,0,,,
0,0,,,
1,0,I just wanted to ask how long it took for you to start feeling the effects.|,I just wanted to ask how long it took for you to start feeling the effects.,I just wanted to ask how long it took for you to start feeling the effects.
1,0,Why would she want you to close the curtains?|,Why would she want you to close the curtains?,Why would she want you to close the curtains?
1,0,What?|,What?,What?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,wanna know what's on your mind. I'm just curious|,wanna know what's on your mind. I'm just curious,wanna know what's on your mind. I'm just curious
0,0,,,
1,0,Are you my doppelganger?|,Are you my doppelganger?,Are you my doppelganger?
1,0,Is your family having money trouble?|,Is your family having money trouble?,Is your family having money trouble?
0,0,,,
1,0,Why even care what random people think of you?|,Why even care what random people think of you?,Why even care what random people think of you?
0,0,,,
0,0,,,
1,0,Define obsessed what do you think about?|,Define obsessed what do you think about?,Define obsessed what do you think about?
0,0,,,
0,0,,,
1,0,Why not? Are depressed people not supposed to feel a little hope at times?|,Why not? Are depressed people not supposed to feel a little hope at times?,Why not? Are depressed people not supposed to feel a little hope at times?
1,0,How tall are you dude?|,How tall are you dude?,How tall are you dude?
1,0,Why is apologizing not an option? Can you explain the situation a little?|,Why is apologizing not an option? Can you explain the situation a little?,Why is apologizing not an option? Can you explain the situation a little?
1,0,do you know why you feel that ? Is there any reason ?|,do you know why you feel that ? Is there any reason ?,do you know why you feel that ? Is there any reason ?
1,0,Do you have anger issues as well?|,Do you have anger issues as well?,Do you have anger issues as well?
0,0,,,
1,0,Why did you decide on that?|have you talked to anyone about this?|,Why did you decide on that?,have you talked to anyone about this?
0,0,,,
0,0,,,
0,0,,,
1,0,Is there not any thing that makes you feel good?|,Is there not any thing that makes you feel good?,Is there not any thing that makes you feel good?
1,0,What do you like to do?|,What do you like to do?,What do you like to do?
1,0,What are you making?|,What are you making?,What are you making?
1,0,May I ask if there is a reason for your problems?|,May I ask if there is a reason for your problems?,May I ask if there is a reason for your problems?
1,0,Why is that depressing?|,Why is that depressing?,Why is that depressing?
1,0,What does that mean in practice?|,What does that mean in practice?,What does that mean in practice?
0,0,,,
0,0,,,
1,0,What's up buddy|,What's up buddy,What's up buddy
1,0,Do you feel guilt or shame - what I mean by that is do you feel like you don't deserve that 1 day of feeling OK?|,Do you feel guilt or shame - what I mean by that is do you feel like you don't deserve that 1 day of feeling OK?,Do you feel guilt or shame - what I mean by that is do you feel like you don't deserve that 1 day of feeling OK?
1,0,What happened that brought you to this point?|,What happened that brought you to this point?,What happened that brought you to this point?
1,0,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?|,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Why?|,Why?,Why?
1,0,Why cant you get it treated?|,Why cant you get it treated?,Why cant you get it treated?
0,0,,,
1,0,Does your limp make you depressed or is there more?|,Does your limp make you depressed or is there more?,Does your limp make you depressed or is there more?
0,0,,,
1,0,"Hey, what's up?|","Hey, what's up?","Hey, what's up?"
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,What are some examples? Something that has happened lately? Anything specific?|,What are some examples? Something that has happened lately? Anything specific?,What are some examples? Something that has happened lately? Anything specific?
1,0,What kind of work does your firm do?|,What kind of work does your firm do?,What kind of work does your firm do?
1,0,Can you recall times of your old self when you were happy?|Was there a particular activity you did that made you happy?|Has there been a big life change between then and now?|,Can you recall times of your old self when you were happy?,Was there a particular activity you did that made you happy?
0,0,,,
1,0,Just wondering how your holding up?|,Just wondering how your holding up?,Just wondering how your holding up?
0,0,,,
1,0,Can you think of any goal that you have now (or one you can resurrect from the past) that you KNOW you'd feel great about completing?|,Can you think of any goal that you have now (or one you can resurrect from the past) that you KNOW you'd feel great about completing?,Can you think of any goal that you have now (or one you can resurrect from the past) that you KNOW you'd feel great about completing?
1,0,got you feeling like this? Can you describe?|,got you feeling like this? Can you describe?,got you feeling like this? Can you describe?
1,0,Can you just get one of those packages of pre-washed spinach and add those to your sandwiches as a start?|,Can you just get one of those packages of pre-washed spinach and add those to your sandwiches as a start?,Can you just get one of those packages of pre-washed spinach and add those to your sandwiches as a start?
0,0,,,
1,0,What did you write in your note?|,What did you write in your note?,What did you write in your note?
1,0,How long have you been dealing with depression?|,How long have you been dealing with depression?,How long have you been dealing with depression?
1,0,Can you reach out to any friends or loved ones?|,Can you reach out to any friends or loved ones?,Can you reach out to any friends or loved ones?
1,0,How do you know it was a lie?|Who complimented you and in what context?|,How do you know it was a lie?,Who complimented you and in what context?
1,0,WEL1 W4T I5 MAKING U DEPRESSED?|,WEL1 W4T I5 MAKING U DEPRESSED?,WEL1 W4T I5 MAKING U DEPRESSED?
1,0,is this something that you frequently deal with?|,is this something that you frequently deal with?,is this something that you frequently deal with?
1,0,what was his reaction?|,what was his reaction?,what was his reaction?
1,0,does this mean you're seeing someone already?|,does this mean you're seeing someone already?,does this mean you're seeing someone already?
0,0,,,
1,0,What's been hurting you lately?|,What's been hurting you lately?,What's been hurting you lately?
1,0,Are u boy or girl?|,Are u boy or girl?,Are u boy or girl?
0,0,,,
1,0,how old are you?|How long have you been feeling like this?|,how old are you?,How long have you been feeling like this?
0,0,,,
1,0,What currently feeling.|,What currently feeling.,What currently feeling.
0,0,,,
1,0,what add some things you like about yourself?|,what add some things you like about yourself?,what add some things you like about yourself?
0,0,,,
1,0,What kinda stuff are you into?|,What kinda stuff are you into?,What kinda stuff are you into?
1,0,Did you have constant depression and how bad was it?|Do you mean your bad days feel worse or do you mean you feel bad and good at the same time?|,Did you have constant depression and how bad was it?,Do you mean your bad days feel worse or do you mean you feel bad and good at the same time?
1,0,Yeah man you want to sleep and not wake up right?|,Yeah man you want to sleep and not wake up right?,Yeah man you want to sleep and not wake up right?
0,0,,,
1,0,You are in a difficult life situation and you seem to be a young guy. Does your family knows you are having a hard time in college?|,You are in a difficult life situation and you seem to be a young guy. Does your family knows you are having a hard time in college?,You are in a difficult life situation and you seem to be a young guy. Does your family knows you are having a hard time in college?
1,0,"What's happening, friend ?|","What's happening, friend ?","What's happening, friend ?"
0,0,,,
1,0,Why?|,Why?,Why?
1,0,What happened?|,What happened?,What happened?
0,0,,,
1,0,How are you gonna play the new cod if you're dead?|,How are you gonna play the new cod if you're dead?,How are you gonna play the new cod if you're dead?
0,0,,,
1,0,is this a neutral-positive perspective?|,is this a neutral-positive perspective?,is this a neutral-positive perspective?
1,0,how's your diet?|,how's your diet?,how's your diet?
0,0,,,
0,0,,,
1,0,have you felt this for a while or is this something you've thought up recently?|,have you felt this for a while or is this something you've thought up recently?,have you felt this for a while or is this something you've thought up recently?
1,0,What makes you a loser?|,What makes you a loser?,What makes you a loser?
1,0,Is it bc they have relationships and you don't?|,Is it bc they have relationships and you don't?,Is it bc they have relationships and you don't?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Are you on medication?|,Are you on medication?,Are you on medication?
1,0,What is your consciousness worth to you?|,What is your consciousness worth to you?,What is your consciousness worth to you?
0,0,,,
0,0,,,
1,0,Don't they have two numbers?|,Don't they have two numbers?,Don't they have two numbers?
1,0,On an unrelated note: you like penguins?|,On an unrelated note: you like penguins?,On an unrelated note: you like penguins?
1,0,what happened to your dog if i may ask?|,what happened to your dog if i may ask?,what happened to your dog if i may ask?
1,0,Where does self exile exist as I never found it|,Where does self exile exist as I never found it,Where does self exile exist as I never found it
1,0,What happened?|,What happened?,What happened?
1,0,what the fuck do I do?|,what the fuck do I do?,what the fuck do I do?
1,0,Are you gonna take the Prozac?|,Are you gonna take the Prozac?,Are you gonna take the Prozac?
1,0,Can you see a doctor or a psychiatrist?|,Can you see a doctor or a psychiatrist?,Can you see a doctor or a psychiatrist?
1,0,"If the life you're living isn't making you happy, it's not what you want, why don't you change it?|","If the life you're living isn't making you happy, it's not what you want, why don't you change it?","If the life you're living isn't making you happy, it's not what you want, why don't you change it?"
1,0,What makes you feel like this?|,What makes you feel like this?,What makes you feel like this?
1,0,Can I ask why you have depression?|,Can I ask why you have depression?,Can I ask why you have depression?
1,0,Tell us more about your predicament|,Tell us more about your predicament,Tell us more about your predicament
0,0,,,
0,0,,,
1,0,Anyway aren't we always pandering to each other?|,Anyway aren't we always pandering to each other?,Anyway aren't we always pandering to each other?
0,0,,,
1,0,Whats on your list?|,Whats on your list?,Whats on your list?
0,0,,,
1,0,Is there something enjoyable that you can get out of bed for?|,Is there something enjoyable that you can get out of bed for?,Is there something enjoyable that you can get out of bed for?
0,0,,,
1,0,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way|,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way
1,0,So what's the matter?|,So what's the matter?,So what's the matter?
1,0,What is something you can do that would feel healthy and bring you a sense of hope. Do you have a loving friend to reach out to? Do you have a pet you may be able to hang out with? A faith group that brings you peace? What's one thing you could do right now that would feel like a healthy step and would bring you some positive vibes.|,What is something you can do that would feel healthy and bring you a sense of hope. Do you have a loving friend to reach out to? Do you have a pet you may be able to hang out with? A faith group that brings you peace? What's one thing you could do right now that would feel like a healthy step and would bring you some positive vibes.,What is something you can do that would feel healthy and bring you a sense of hope. Do you have a loving friend to reach out to? Do you have a pet you may be able to hang out with? A faith group that brings you peace? What's one thing you could do right now that would feel like a healthy step and would bring you some positive vibes.
1,0,What's bothering you?|,What's bothering you?,What's bothering you?
1,0,What happened on Nov 28th?|,What happened on Nov 28th?,What happened on Nov 28th?
1,0,what is wrong what type if things are you fighting with your brain over?|,what is wrong what type if things are you fighting with your brain over?,what is wrong what type if things are you fighting with your brain over?
0,0,,,
1,0,Are you on disability at all?|,Are you on disability at all?,Are you on disability at all?
0,0,,,
1,0,Anyone in your life who can come over and help you clean your room?|,Anyone in your life who can come over and help you clean your room?,Anyone in your life who can come over and help you clean your room?
1,0,Had the same job for five years? Never taken a sick day? Just been consistently employed for 5 years? Or old enough to even have a five year work history?|,Had the same job for five years? Never taken a sick day? Just been consistently employed for 5 years? Or old enough to even have a five year work history?,Had the same job for five years? Never taken a sick day? Just been consistently employed for 5 years? Or old enough to even have a five year work history?
1,0,"Have you lost any weight? At least you're going in the right direction, right? Are you seeing a therapist? Are you seeing a psychiatrist?|","Have you lost any weight? At least you're going in the right direction, right? Are you seeing a therapist? Are you seeing a psychiatrist?","Have you lost any weight? At least you're going in the right direction, right? Are you seeing a therapist? Are you seeing a psychiatrist?"
0,0,,,
1,0,Have you looked into getting help?|,Have you looked into getting help?,Have you looked into getting help?
1,0,what you need?|,what you need?,what you need?
0,0,,,
0,0,,,
1,0,would you be moving to a new city or some where farther away?|,would you be moving to a new city or some where farther away?,would you be moving to a new city or some where farther away?
0,0,,,
1,0,Did he tell you? or can you just tell?|,Did he tell you? or can you just tell?,Did he tell you? or can you just tell?
1,0,Is anyone home you can talk to?|Has anything happened in your life recently?|,Is anyone home you can talk to?,Has anything happened in your life recently?
0,0,,,
0,0,,,
1,0,What responsibility?|Why is that a responsibility.|Did someone give it to you?|,What responsibility?,Why is that a responsibility.
1,0,what in the past has made you happy? What do you know about your basic dispositions and functions as a human?|,what in the past has made you happy? What do you know about your basic dispositions and functions as a human?,what in the past has made you happy? What do you know about your basic dispositions and functions as a human?
1,0,Do you have someone you can talk to?|,Do you have someone you can talk to?,Do you have someone you can talk to?
1,0,How so are you a burden?|,How so are you a burden?,How so are you a burden?
