empathy,augmented_flag,rationales,first_rationale,longest_rationale
0,0,,,
0,0,,,
1,1,"Life / people have continuously treated you worse than shit, and you developed depression because of it ?|","Life / people have continuously treated you worse than shit, and you developed depression because of it ?","Life / people have continuously treated you worse than shit, and you developed depression because of it ?"
1,0,Uhhh... who?|,Uhhh... who?,Uhhh... who?
1,0,Why would she want you to close the curtains?|,Why would she want you to close the curtains?,Why would she want you to close the curtains?
1,0,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way|,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way
0,0,,,
1,0,Are you gonna take the Prozac?|,Are you gonna take the Prozac?,Are you gonna take the Prozac?
1,0,What do you enjoy doing in your free time.|,What do you enjoy doing in your free time.,What do you enjoy doing in your free time.
1,1,What sorts of things are bothering you?|,What sorts of things are bothering you?,What sorts of things are bothering you?
0,0,,,
1,1,Maybe because you crave for very meaningful relationships?|,Maybe because you crave for very meaningful relationships?,Maybe because you crave for very meaningful relationships?
1,1,If you mind me asking what is the dosage your on for them?|,If you mind me asking what is the dosage your on for them?,If you mind me asking what is the dosage your on for them?
0,0,,,
1,0,Are you in high school or college? How are you getting around not getting kicked out due to absences (if high school).|,Are you in high school or college? How are you getting around not getting kicked out due to absences (if high school).,Are you in high school or college? How are you getting around not getting kicked out due to absences (if high school).
1,1,how old are you?|How long have you been feeling like this?|,how old are you?,How long have you been feeling like this?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,is this something that you frequently deal with?|,is this something that you frequently deal with?,is this something that you frequently deal with?
0,0,,,
1,0,Why cant you get it treated?|,Why cant you get it treated?,Why cant you get it treated?
1,0,Where does self exile exist as I never found it|,Where does self exile exist as I never found it,Where does self exile exist as I never found it
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,isnt there really anything you can do about your desperate situation?|,isnt there really anything you can do about your desperate situation?,isnt there really anything you can do about your desperate situation?
1,1,have you considered getting a pet?|,have you considered getting a pet?,have you considered getting a pet?
0,0,,,
0,0,,,
1,0,Did you think you might die from it?|,Did you think you might die from it?,Did you think you might die from it?
1,1,What about you?|,What about you?,What about you?
1,0,. Do you believe there is a point to living besides to die|,. Do you believe there is a point to living besides to die,. Do you believe there is a point to living besides to die
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,What's making you feel this way?|,What's making you feel this way?,What's making you feel this way?
1,0,. Have you asked why you were not invited?|,. Have you asked why you were not invited?,. Have you asked why you were not invited?
0,0,,,
1,1,What kind of exams do you have going on?|,What kind of exams do you have going on?,What kind of exams do you have going on?
0,0,,,
0,0,,,
1,1,Did you hang out with other people?|,Did you hang out with other people?,Did you hang out with other people?
0,0,,,
1,0,I just wanted to ask how long it took for you to start feeling the effects.|,I just wanted to ask how long it took for you to start feeling the effects.,I just wanted to ask how long it took for you to start feeling the effects.
1,0,how you get addicted to heroin.|,how you get addicted to heroin.,how you get addicted to heroin.
0,0,,,
1,1,Were you ever bullied? Do you have a circle of friends?|,Were you ever bullied? Do you have a circle of friends?,Were you ever bullied? Do you have a circle of friends?
0,0,,,
1,0,Have you talked to your fiance about how you're feeling?|,Have you talked to your fiance about how you're feeling?,Have you talked to your fiance about how you're feeling?
1,1,Is it an alarm problem or a|,Is it an alarm problem or a,Is it an alarm problem or a
1,0,Do you have a doctor who can look at trying something else?|,Do you have a doctor who can look at trying something else?,Do you have a doctor who can look at trying something else?
0,0,,,
0,0,,,
1,1,Have you tried admitting yourself anywhere?|,Have you tried admitting yourself anywhere?,Have you tried admitting yourself anywhere?
1,0,minor inconviences will eventually end at some point So why bother worrying about it?|,minor inconviences will eventually end at some point So why bother worrying about it?,minor inconviences will eventually end at some point So why bother worrying about it?
0,0,,,
1,1,Do you have a tinge of 'why the fuck did I do that' after watching porn?|,Do you have a tinge of 'why the fuck did I do that' after watching porn?,Do you have a tinge of 'why the fuck did I do that' after watching porn?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,how does that work? You've been sitting in the shower?|,how does that work? You've been sitting in the shower?,how does that work? You've been sitting in the shower?
0,0,,,
0,0,,,
0,0,,,
1,1,What was it that made you feel|,What was it that made you feel,What was it that made you feel
0,0,,,
0,0,,,
0,0,,,
1,0,What can we do to help?|,What can we do to help?,What can we do to help?
0,0,,,
1,1,What's up?|,What's up?,What's up?
1,1,What would you like to do?|,What would you like to do?,What would you like to do?
0,0,,,
1,0,So what's the matter?|,So what's the matter?,So what's the matter?
0,0,,,
0,0,,,
1,0,What makes you happy now? Or at least what distracts you from how much you hate yourself?|,What makes you happy now? Or at least what distracts you from how much you hate yourself?,What makes you happy now? Or at least what distracts you from how much you hate yourself?
0,0,,,
1,1,what about the relatives and the mess?|,what about the relatives and the mess?,what about the relatives and the mess?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,What types of jobs are you applying for?|,What types of jobs are you applying for?,What types of jobs are you applying for?
0,0,,,
0,0,,,
1,0,what add some things you like about yourself?|,what add some things you like about yourself?,what add some things you like about yourself?
1,0,Is it possible to have her euthanized?|,Is it possible to have her euthanized?,Is it possible to have her euthanized?
0,0,,,
0,0,,,
1,1,In what way?|,In what way?,In what way?
1,0,"So I'm assuming you don't attend any support groups?? If not, why?|","So I'm assuming you don't attend any support groups?? If not, why?","So I'm assuming you don't attend any support groups?? If not, why?"
1,0,"When it comes to trust in humans, it comes down to expectations. What are your expectations?|","When it comes to trust in humans, it comes down to expectations. What are your expectations?","When it comes to trust in humans, it comes down to expectations. What are your expectations?"
0,0,,,
1,1,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?|,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?
0,0,,,
0,0,,,
1,0,why is life painful for you . you have someone who loves you ? is there voices saying things to you ?|,why is life painful for you . you have someone who loves you ? is there voices saying things to you ?,why is life painful for you . you have someone who loves you ? is there voices saying things to you ?
1,0,Have you tried talking to a counselor at all?|,Have you tried talking to a counselor at all?,Have you tried talking to a counselor at all?
1,0,Why did you decide on that?|have you talked to anyone about this?|,Why did you decide on that?,have you talked to anyone about this?
0,0,,,
1,0,What's up?|,What's up?,What's up?
0,0,,,
0,0,,,
1,1,minor inconviences will eventually end at some point So why bother worrying about it?|,minor inconviences will eventually end at some point So why bother worrying about it?,minor inconviences will eventually end at some point So why bother worrying about it?
0,0,,,
1,1,Did you have constant depression and how bad was it?|Do you mean your bad days feel worse or do you mean you feel bad and good at the same time?|,Did you have constant depression and how bad was it?,Do you mean your bad days feel worse or do you mean you feel bad and good at the same time?
1,0,"Hey, what grade are you in?|","Hey, what grade are you in?","Hey, what grade are you in?"
1,0,What has you feeling that way|,What has you feeling that way,What has you feeling that way
0,0,,,
1,1,Why?|,Why?,Why?
0,0,,,
0,0,,,
1,0,What currently feeling.|,What currently feeling.,What currently feeling.
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,Are you able to find any jobs that you can train on?|,Are you able to find any jobs that you can train on?,Are you able to find any jobs that you can train on?
1,0,Tell us more about your predicament|,Tell us more about your predicament,Tell us more about your predicament
0,0,,,
1,0,Remember what your mother did to you the other night?|,Remember what your mother did to you the other night?,Remember what your mother did to you the other night?
1,0,how old are you?|How long have you been feeling like this?|,how old are you?,How long have you been feeling like this?
0,0,,,
1,1,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?|,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,what in the past has made you happy? What do you know about your basic dispositions and functions as a human?|,what in the past has made you happy? What do you know about your basic dispositions and functions as a human?,what in the past has made you happy? What do you know about your basic dispositions and functions as a human?
0,0,,,
1,0,How much of a difference did it make to go and see a doctor for you?|,How much of a difference did it make to go and see a doctor for you?,How much of a difference did it make to go and see a doctor for you?
0,0,,,
0,0,,,
1,0,"If the life you're living isn't making you happy, it's not what you want, why don't you change it?|","If the life you're living isn't making you happy, it's not what you want, why don't you change it?","If the life you're living isn't making you happy, it's not what you want, why don't you change it?"
0,0,,,
1,0,What kind of stuff do you like?|,What kind of stuff do you like?,What kind of stuff do you like?
0,0,,,
1,0,What's so wrong in your life that you feel the need to take such drastic measure?|Why are you thinking about it?|,What's so wrong in your life that you feel the need to take such drastic measure?,What's so wrong in your life that you feel the need to take such drastic measure?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,Did you think you might die from it?|,Did you think you might die from it?,Did you think you might die from it?
0,0,,,
1,1,what is wrong what type if things are you fighting with your brain over?|,what is wrong what type if things are you fighting with your brain over?,what is wrong what type if things are you fighting with your brain over?
0,0,,,
1,0,Any reason this all happened to you?|,Any reason this all happened to you?,Any reason this all happened to you?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,what kinds of shit do you like.?|,what kinds of shit do you like.?,what kinds of shit do you like.?
1,0,have you considered getting a pet?|,have you considered getting a pet?,have you considered getting a pet?
0,0,,,
1,0,On an unrelated note: you like penguins?|,On an unrelated note: you like penguins?,On an unrelated note: you like penguins?
1,0,Are u boy or girl?|,Are u boy or girl?,Are u boy or girl?
0,0,,,
1,0,What do you want someone to care about?|,What do you want someone to care about?,What do you want someone to care about?
1,1,Does your limp make you depressed or is there more?|,Does your limp make you depressed or is there more?,Does your limp make you depressed or is there more?
0,0,,,
1,0,What kind of work does your firm do?|,What kind of work does your firm do?,What kind of work does your firm do?
1,0,How are you feeling ?|,How are you feeling ?,How are you feeling ?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,Why do you have such a negative opinion of yourself?|,Why do you have such a negative opinion of yourself?,Why do you have such a negative opinion of yourself?
1,0,Why do u feel bad right now?|,Why do u feel bad right now?,Why do u feel bad right now?
0,0,,,
1,1,What's been bothering you lately that you wish to escape?|,What's been bothering you lately that you wish to escape?,What's been bothering you lately that you wish to escape?
0,0,,,
1,1,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?|,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?
1,1,Have you spoken to a medical professional about it?|,Have you spoken to a medical professional about it?,Have you spoken to a medical professional about it?
1,1,Whats on your list?|,Whats on your list?,Whats on your list?
1,0,Does there need to be a reason?|,Does there need to be a reason?,Does there need to be a reason?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,What exactly do you need help with?|,What exactly do you need help with?,What exactly do you need help with?
0,0,,,
0,0,,,
1,0,Why do you feel like you're unlovable?|,Why do you feel like you're unlovable?,Why do you feel like you're unlovable?
1,0,Have you thought about speaking to a therapist or call a depression hotline?|,Have you thought about speaking to a therapist or call a depression hotline?,Have you thought about speaking to a therapist or call a depression hotline?
0,0,,,
1,1,Don't they have two numbers?|,Don't they have two numbers?,Don't they have two numbers?
0,0,,,
0,0,,,
1,0,Do you respect those people who changed you in your life?|Do you respect them enough to keep them with you?|,Do you respect those people who changed you in your life?,Do you respect those people who changed you in your life?
1,0,"Just imagine the YOU whose conquered this hell in your mind, what do you think he would tell you?|","Just imagine the YOU whose conquered this hell in your mind, what do you think he would tell you?","Just imagine the YOU whose conquered this hell in your mind, what do you think he would tell you?"
0,0,,,
0,0,,,
1,1,What happened?|,What happened?,What happened?
0,0,,,
0,0,,,
1,0,Can you reach out to any friends or loved ones?|,Can you reach out to any friends or loved ones?,Can you reach out to any friends or loved ones?
1,1,Are you telling people you want a relationship? Or you want sex?|,Are you telling people you want a relationship? Or you want sex?,Are you telling people you want a relationship? Or you want sex?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,Have you thought about taking a sleep aid?|,Have you thought about taking a sleep aid?,Have you thought about taking a sleep aid?
1,1,By any chance do you think you're in a loop|,By any chance do you think you're in a loop,By any chance do you think you're in a loop
0,0,,,
1,1,And explain your current situation?|,And explain your current situation?,And explain your current situation?
1,0,Tell us a bit more. What's your story?|,Tell us a bit more. What's your story?,Tell us a bit more. What's your story?
0,0,,,
0,0,,,
1,0,What's the message.|,What's the message.,What's the message.
0,0,,,
0,0,,,
1,0,what's been going on?|,what's been going on?,what's been going on?
0,0,,,
1,1,are you having withdrawal symptoms?|,are you having withdrawal symptoms?,are you having withdrawal symptoms?
1,0,"What was the end result of the conversation you had with them?|Was everyone impacted there?|Was there an explicit apology and acceptance of that apology?|When you say that you think things are cool now, what are you basing that off of?|",What was the end result of the conversation you had with them?,"When you say that you think things are cool now, what are you basing that off of?"
0,0,,,
0,0,,,
1,0,Where are you in the world?|,Where are you in the world?,Where are you in the world?
0,0,,,
1,0,Do you have a therapist? Do you have access to one?|,Do you have a therapist? Do you have access to one?,Do you have a therapist? Do you have access to one?
1,0,Can you see a doctor or a psychiatrist?|,Can you see a doctor or a psychiatrist?,Can you see a doctor or a psychiatrist?
1,0,Why not? Are depressed people not supposed to feel a little hope at times?|,Why not? Are depressed people not supposed to feel a little hope at times?,Why not? Are depressed people not supposed to feel a little hope at times?
1,1,Do you mind if I ask why?|,Do you mind if I ask why?,Do you mind if I ask why?
1,0,Because of your depression or your partners?|,Because of your depression or your partners?,Because of your depression or your partners?
0,0,,,
1,1,"Wood or aluminum? Or I guess, better first question, sports equipment or animal?|","Wood or aluminum? Or I guess, better first question, sports equipment or animal?","Wood or aluminum? Or I guess, better first question, sports equipment or animal?"
1,1,Why did you refuse meds?|,Why did you refuse meds?,Why did you refuse meds?
1,0,Does you happiness rely on other people's behavior?|,Does you happiness rely on other people's behavior?,Does you happiness rely on other people's behavior?
0,0,,,
0,0,,,
1,0,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?|,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?,Why post this rubbish? Are you depressed? Do you think this trite advise means anything to those who are?
1,0,Maybe you can find a room mate or something ?|,Maybe you can find a room mate or something ?,Maybe you can find a room mate or something ?
0,0,,,
1,0,What's up?|,What's up?,What's up?
1,0,What were you taking before vs what are you taking now?|Are you being prescribed by your general doctor or a psychiatrist?|Do you feel like you are in danger right now?|,What were you taking before vs what are you taking now?,Are you being prescribed by your general doctor or a psychiatrist?
1,0,Why Bro?|. But why?|,Why Bro?,. But why?
1,0,Did you hang out with other people?|,Did you hang out with other people?,Did you hang out with other people?
0,0,,,
0,0,,,
1,0,Does it matter at that point what I want?|,Does it matter at that point what I want?,Does it matter at that point what I want?
0,0,,,
1,0,What would you like to do?|,What would you like to do?,What would you like to do?
0,0,,,
0,0,,,
0,0,,,
1,1,"What if you are already putting your life ahead of others, but you are still depressed?|","What if you are already putting your life ahead of others, but you are still depressed?","What if you are already putting your life ahead of others, but you are still depressed?"
0,0,,,
1,1,Remember what your mother did to you the other night?|,Remember what your mother did to you the other night?,Remember what your mother did to you the other night?
0,0,,,
1,0,What makes you feel this way?|,What makes you feel this way?,What makes you feel this way?
1,0,WEL1 W4T I5 MAKING U DEPRESSED?|,WEL1 W4T I5 MAKING U DEPRESSED?,WEL1 W4T I5 MAKING U DEPRESSED?
0,0,,,
1,1,"why wouldn't you want to take a risk of trying different medications that might help you? You don't know how they affect you, until you try them.|","why wouldn't you want to take a risk of trying different medications that might help you? You don't know how they affect you, until you try them.","why wouldn't you want to take a risk of trying different medications that might help you? You don't know how they affect you, until you try them."
1,1,what do you base those views off of if nothing else has a point for existence?|If it is meaningless then what else is there to be meaningful?|Whats the fun in easy?|,what do you base those views off of if nothing else has a point for existence?,what do you base those views off of if nothing else has a point for existence?
1,1,She came back the first time?|,She came back the first time?,She came back the first time?
0,0,,,
0,0,,,
1,0,Aren't you glad when someone comes to you?|,Aren't you glad when someone comes to you?,Aren't you glad when someone comes to you?
1,0,Is it an excuse if it's true?|,Is it an excuse if it's true?,Is it an excuse if it's true?
0,0,,,
0,0,,,
1,0,How many milligrams are each tablet and how much do you weigh?|,How many milligrams are each tablet and how much do you weigh?,How many milligrams are each tablet and how much do you weigh?
0,0,,,
0,0,,,
1,0,Are you just into pain?|,Are you just into pain?,Are you just into pain?
1,1,do you have medical training?|,do you have medical training?,do you have medical training?
0,0,,,
1,0,Could you call child protective services?|,Could you call child protective services?,Could you call child protective services?
1,0,"Why do you go to that places? Why staying?|So, why do you go there? Staying with friends? Being thoughtless?|",Why do you go to that places? Why staying?,"So, why do you go there? Staying with friends? Being thoughtless?"
1,1,What went so wrong that you think that?|,What went so wrong that you think that?,What went so wrong that you think that?
1,0,What's your situation?|,What's your situation?,What's your situation?
0,0,,,
0,0,,,
1,0,What happened?|,What happened?,What happened?
1,1,What are three major pros and cons of each for you?|,What are three major pros and cons of each for you?,What are three major pros and cons of each for you?
0,0,,,
1,0,You want to be my friend?|,You want to be my friend?,You want to be my friend?
0,0,,,
1,0,Let me ask you this: what do you find joy or distraction in? Tell me everything you have tried.|,Let me ask you this: what do you find joy or distraction in? Tell me everything you have tried.,Let me ask you this: what do you find joy or distraction in? Tell me everything you have tried.
1,0,What are you making?|,What are you making?,What are you making?
0,0,,,
1,1,Imagine someone texting you and saying|,Imagine someone texting you and saying,Imagine someone texting you and saying
1,0,How do you know that?|,How do you know that?,How do you know that?
0,0,,,
0,0,,,
0,0,,,
1,1,What happened?|,What happened?,What happened?
0,0,,,
1,1,Why?|,Why?,Why?
1,0,What would you like to do?|,What would you like to do?,What would you like to do?
1,0,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?|,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?,Are you saying that you are typically harmful to the world and so your best aspiration would be to become a net zero for the world instead?
1,0,What happened that brought you to this point?|,What happened that brought you to this point?,What happened that brought you to this point?
1,1,What's making you feel so worthless right now?|,What's making you feel so worthless right now?,What's making you feel so worthless right now?
0,0,,,
0,0,,,
0,0,,,
1,0,What happened?|,What happened?,What happened?
1,1,What's making you feel this way?|,What's making you feel this way?,What's making you feel this way?
0,0,,,
1,0,What makes you a loser?|,What makes you a loser?,What makes you a loser?
0,0,,,
0,0,,,
1,0,Were you able to finish the cookies?|,Were you able to finish the cookies?,Were you able to finish the cookies?
1,0,What emotion are you experiencing right now? How do you identify it? What caused you to feel like this? What steps can you make to prevent this feeling?|,What emotion are you experiencing right now? How do you identify it? What caused you to feel like this? What steps can you make to prevent this feeling?,What emotion are you experiencing right now? How do you identify it? What caused you to feel like this? What steps can you make to prevent this feeling?
1,0,What makes you think that you waste your time in your cause? Has someone ever told you that? Or is it more of your personal opinion?|,What makes you think that you waste your time in your cause? Has someone ever told you that? Or is it more of your personal opinion?,What makes you think that you waste your time in your cause? Has someone ever told you that? Or is it more of your personal opinion?
1,1,What kind of stuff do you like?|,What kind of stuff do you like?,What kind of stuff do you like?
1,1,"Hey, what's up?|","Hey, what's up?","Hey, what's up?"
1,1,Atleast your not buying hard drugs right ?|,Atleast your not buying hard drugs right ?,Atleast your not buying hard drugs right ?
1,0,Have you ever thought what the meaning of your life is?|,Have you ever thought what the meaning of your life is?,Have you ever thought what the meaning of your life is?
0,0,,,
0,0,,,
1,1,Do you have a therapist? Do you have access to one?|,Do you have a therapist? Do you have access to one?,Do you have a therapist? Do you have access to one?
0,0,,,
1,1,whats happened anyway|,whats happened anyway,whats happened anyway
0,0,,,
0,0,,,
1,0,and it only ever get's worse doesn't it ?|,and it only ever get's worse doesn't it ?,and it only ever get's worse doesn't it ?
1,1,Are you struggling with anything specific or life in general?|,Are you struggling with anything specific or life in general?,Are you struggling with anything specific or life in general?
1,0,Why can't you get a job as a lawyer?|,Why can't you get a job as a lawyer?,Why can't you get a job as a lawyer?
0,0,,,
1,1,Anyway aren't we always pandering to each other?|,Anyway aren't we always pandering to each other?,Anyway aren't we always pandering to each other?
0,0,,,
0,0,,,
1,0,what are the finals you're Scared about|,what are the finals you're Scared about,what are the finals you're Scared about
1,0,Have you noticed any differences from the meds?|,Have you noticed any differences from the meds?,Have you noticed any differences from the meds?
1,0,What does that mean in practice?|,What does that mean in practice?,What does that mean in practice?
1,1,If I may ask I imagine you still live with her and have to deal with this kind of garbage pretty often?|,If I may ask I imagine you still live with her and have to deal with this kind of garbage pretty often?,If I may ask I imagine you still live with her and have to deal with this kind of garbage pretty often?
0,0,,,
1,1,Is that really so bad?|,Is that really so bad?,Is that really so bad?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,"Hey, what grade are you in?|","Hey, what grade are you in?","Hey, what grade are you in?"
1,0,where are you from?|,where are you from?,where are you from?
1,0,Maybe eventually we'll be productive right?|,Maybe eventually we'll be productive right?,Maybe eventually we'll be productive right?
1,0,What are three major pros and cons of each for you?|,What are three major pros and cons of each for you?,What are three major pros and cons of each for you?
1,1,Why do you crave this attention?|,Why do you crave this attention?,Why do you crave this attention?
0,0,,,
0,0,,,
0,0,,,
1,0,are you having withdrawal symptoms?|,are you having withdrawal symptoms?,are you having withdrawal symptoms?
1,1,What vibes you giving off?|,What vibes you giving off?,What vibes you giving off?
1,0,Tell me about it.|,Tell me about it.,Tell me about it.
0,0,,,
1,0,Can you open-up a bit to explain? What's the matter?|,Can you open-up a bit to explain? What's the matter?,Can you open-up a bit to explain? What's the matter?
0,0,,,
1,0,Are you telling people you want a relationship? Or you want sex?|,Are you telling people you want a relationship? Or you want sex?,Are you telling people you want a relationship? Or you want sex?
1,0,Why do you feel like that?|,Why do you feel like that?,Why do you feel like that?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,"Have you tried telling them to get help, therapist, medication, or hospital.|","Have you tried telling them to get help, therapist, medication, or hospital.","Have you tried telling them to get help, therapist, medication, or hospital."
1,1,Is it possible to have her euthanized?|,Is it possible to have her euthanized?,Is it possible to have her euthanized?
1,0,"Like there is nothing that would lift your spirits, if only for a day?|","Like there is nothing that would lift your spirits, if only for a day?","Like there is nothing that would lift your spirits, if only for a day?"
1,0,e accept the love wee think we deserve. why don't you think you're deserving?|,e accept the love wee think we deserve. why don't you think you're deserving?,e accept the love wee think we deserve. why don't you think you're deserving?
0,0,,,
1,0,Do you have anyone in your life whom you trust enough to talk to about how you're feeling?|,Do you have anyone in your life whom you trust enough to talk to about how you're feeling?,Do you have anyone in your life whom you trust enough to talk to about how you're feeling?
0,0,,,
1,0,May I ask if there is a reason for your problems?|,May I ask if there is a reason for your problems?,May I ask if there is a reason for your problems?
1,0,Did you have constant depression and how bad was it?|Do you mean your bad days feel worse or do you mean you feel bad and good at the same time?|,Did you have constant depression and how bad was it?,Do you mean your bad days feel worse or do you mean you feel bad and good at the same time?
1,0,what life path are you|,what life path are you,what life path are you
1,0,how are you?|,how are you?,how are you?
1,0,what you need?|,what you need?,what you need?
1,0,Get help in what way?|,Get help in what way?,Get help in what way?
1,1,Have you tried any sleep medication?|,Have you tried any sleep medication?,Have you tried any sleep medication?
1,0,What have you been failing at?|,What have you been failing at?,What have you been failing at?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Maybe you can get the diploma mailed to one of the family members place of work?|,Maybe you can get the diploma mailed to one of the family members place of work?,Maybe you can get the diploma mailed to one of the family members place of work?
1,1,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way|,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way,You feel judged? Perhaps you haven't accomplish what you told them you would? Or why do you feel this way
1,0,"Things used to be so simple, right?|","Things used to be so simple, right?","Things used to be so simple, right?"
1,1,Would you feel better (1) sticking to a renewed promise to not drink and thus having to forego drinking every time you feel the need in the future or (2) abandoning your promise and dealing with whatever direct and indirect harm befalls you from the drinking?|,Would you feel better (1) sticking to a renewed promise to not drink and thus having to forego drinking every time you feel the need in the future or (2) abandoning your promise and dealing with whatever direct and indirect harm befalls you from the drinking?,Would you feel better (1) sticking to a renewed promise to not drink and thus having to forego drinking every time you feel the need in the future or (2) abandoning your promise and dealing with whatever direct and indirect harm befalls you from the drinking?
0,0,,,
0,0,,,
1,0,what don't you like about school?|,what don't you like about school?,what don't you like about school?
1,0,How long have you been dealing with depression?|,How long have you been dealing with depression?,How long have you been dealing with depression?
1,1,Would you rather have them pity you or not give a shit?|,Would you rather have them pity you or not give a shit?,Would you rather have them pity you or not give a shit?
0,0,,,
0,0,,,
0,0,,,
1,1,Have you used indeed.com before?|,Have you used indeed.com before?,Have you used indeed.com before?
1,0,Atleast your not buying hard drugs right ?|,Atleast your not buying hard drugs right ?,Atleast your not buying hard drugs right ?
1,0,Just wondering how your holding up?|,Just wondering how your holding up?,Just wondering how your holding up?
0,0,,,
0,0,,,
1,0,What can we do today that will help?|,What can we do today that will help?,What can we do today that will help?
0,0,,,
0,0,,,
0,0,,,
