seeker_post,response_post,augmented_flag,rationales,first_rationale,longest_rationale
"When (if you remember at all) was the last time you were happy?. For me, it's been 4 years. I'm anxious, and timid, and I hate my life but I remember those times and try to have hope... Will I ever be happy again? I'm only 16 but damn that would be a fucking shitty life.","I'm 15, I'm not sure that I've been really happy since I was seven years old. I can hardly remember what it feels like anymore.",0,,,
"do you channel your depression into mediums of expression?. for me, i draw. i draw mostly cartoony, happy stuff, which i guess is kind of weird since im not happy at all, but thats what i do how do you express yourself?",I'm jealous of you artists.. I play guitar and I've gotten to the point where I can usually play how I feel but it makes me feel worse normally...the same sad chords and melodies. Do you have any art you'd like to share? I'd love to see some,0,,,
You don't have the right to be depressed.. I was told this by my boss today. What an asshat.,What do people know it's easy for someone to judge without knowing all the facts wish people would think before they speak.,0,,,
"Depression is not a good thing. I want to change, i need to change",hope you all the best in your journey,0,hope you all the best in your journey|,hope you all the best in your journey,hope you all the best in your journey
I haven't been to class in a month. lol I've just stopped going and absolutely stopped giving a Fuck. At some point with the depression you just become completely numb. I have 0 motivation to go. I haven't really left bed in a month,"I never go to class. It sucks how badly my depression, anxiety and PTSD ruin my motivation to even get out of bed....",0,,,
When was the last time.... Someone gave you a hug?,"If you don't count my mother or family members, about 3 years.",0,,,
Going to go tonight.. Everyone will be happy...no more me. I have no one.,Please don't. Its just not right choice make. There is always something that can be done other than that.,0,Please don't. Its just not right choice make. There is always something that can be done other than that.|,Please don't. Its just not right choice make. There is always something that can be done other than that.,Please don't. Its just not right choice make. There is always something that can be done other than that.
"Loneliness.. Whatever that word makes you feel, let it out.","That word makes me confused. I don't understand it, so many people say they feel incredibly lonely, yet here I am, with the same sickness, not even comprehending what that weird word is supposed to mean.",0,,,
"Does anyone else find comfort in suicide?. No matter in how much shit I get myself into, suicide is always there as my loyal backdoor. If everything goes wrong I can just end it all and suffer none. Hell sometimes it even gives me confidence to go through stuff that I'm afraid of.","Heh. The thought of suicide is what I sometimes turn to at night to help me sleep. The thought of ending it all is just so strangely comforting, like nDad's grilled cheese sandwiches or my sisters voice. It's even calmed me down when I've been laying in bed, sobbing hysterically.",0,,,
Nostalgia is a very bad reminder of what my life used to be. I wish i could live my life from when I was born again.. I miss the days of my parents carrying me to bed. I miss the days where everday was a new adventure. :(,"The only part of your life you get to experience is the present, and you gotta set aside some of that experience for the future. The past will always be happier or sadder because you have to recreate it every time and it gets a bit more distorted every time.",0,,,
"I just want to die. Nothing else, just wanna fucking kill myself lol",im here if you want to talk op. ps-noice username lol,0,im here if you want to talk op. ps-noice username lol|,im here if you want to talk op. ps-noice username lol,im here if you want to talk op. ps-noice username lol
"i need to bleed. which area is the most painful yet least dangerous to cut? i can handle physical pain, but i need this emotional anguish to go away.","Cutting the topside of my arms hurt and bled but they clotted pretty quickly. Please use a sterile blade if you're going to cut yourself, and don't go any deeper than just the surface skin. Take it from me as someone who has used self-harm, an infection is not the sort of pain that helps with emotional relief! I also recommend other methods, there are plenty out there that can cause some pretty gnarly pain but are far, far safer than cutting. Are there any taps in your house that have overly hot water? Boiling water shouldn't be used as it will scald and is just as prone to infection and other nasties as cutting, so just try clenching a fist under the regular hot water for a few seconds. On the other end of the scale I found the grabing an ice cube and squeezing as tight as I could helped! I thought it would just make my hand feel numb, but it creates a localised, sharp unbearable sensation that works wonders to distract me.",0,,,
Everything is anything. good luck to you all with your gaming. but also fuck everyone. even though I hope you will find good things. not that those exist MAKE SURE TO CUT YOUR HAIR WITH YOU TOENAIL CLIPPERS,pugs are weird but pretty okay,0,,,
I regret not killing myself. Theres literally nothing to live for.,I am sorry I'm alive,0,I am sorry|,I am sorry,I am sorry
whenever I'm happy I feel sort of out of place. Sort of like being happy isn't normal,"A lot of the time when I'm happy my brain goes hang on, this doesn't seem right. Hmmmm... ok. I got it. Lets think of how shit and disgusting you felt when you woke up this morning. there, that's better.",0,,,
"How do you find a good psychiatrist?. I had one I really liked when I was on my parents insurance, but the past three I've had have been bad for different reasons. Is there a site or something with reviews? What should I even look for?",I guess that depends on your country and social security system... But a phonebook will probably Work! :),0,,,
does it still count as exercise if i go back to sleep after?. like...i wake up early and run for a little bit then go back to sleep for the rest of the day. I do it but i feel like i accomplish anything and that makes me feel worse. but i wonder if maybe it is helping too sometimes.,"If you do it, it counts.",0,,,
Woke up this morning. Off to a bad day already. I would never hurt myself but I do pray every night that I don't wake up. I accidentally saw a pic of my ex with a new guy and it hurts. We were suppose to move in together and ger married and everything. Fml x infinity,"Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man.",0,"Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man.|","Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man.","Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man."
im fucked. im fucked.my whole life is fucked,"wanna talk? msg me if ya want. im not gonna tell you what to do or why your life is not fucked. but im someone to talk to and i have been where you are and might understand you, in some way.",0,wanna talk? msg me if ya want.|im someone to talk to|,wanna talk? msg me if ya want.,wanna talk? msg me if ya want.
"Anxiety just makes Depression worse. You get anxious over something, like being excluded. You constantly think about being excluded right now, then you think of the great times they are having, and all the shit they are saying about you. So you become depressed. Having anxiety and depression is the worst. Anyone else understand?","I understand but I can't directly help you. I'd say find just one person you can talk to. Having depression AND anxiety is a double slam because (in my case) anxiety and depression are almost the same...it's hard to tell the difference. I'm older than dirt and could give you some advice, but I'll just say: try not to be alone and talk to someone that you can be honest with. Good luck.",0,but I'll just say: try not to be alone and talk to someone that you can be honest with. Good luck.|,but I'll just say: try not to be alone and talk to someone that you can be honest with. Good luck.,but I'll just say: try not to be alone and talk to someone that you can be honest with. Good luck.
My life is falling apart and it's all my fault.. The world would be better off without me.,No it wouldn't. What happened?,0,No it wouldn't|,No it wouldn't,No it wouldn't
I just want to crawl into a dark cave where no one will ever find me.. I just don't know what to do. I feel like my dreams are slipping through my fingers. I feel like an idiot for even believing in myself. I got my hopes up... what a joke I am.,"it's just one of those normal things in life, we'll keep on trying and we'll keep on failing. The reason success feels good is because you work for it. Don't let disappointment get to you, look at it this way, being disappointment means you know you could've done better. Your time &amp; effort isn't wasted as long as you learn from what you did. Just keep on. am I making sense? sorry for rambling",0,"Don't let disappointment get to you, look at it this way, being disappointment means you know you could've done better.|Just keep on.|","Don't let disappointment get to you, look at it this way, being disappointment means you know you could've done better.","Don't let disappointment get to you, look at it this way, being disappointment means you know you could've done better."
Hey. I'm trying to find people to add on either PS4 or Xbox one I know this is a deppresion group and this is related to how my deppresion affects me I'd like to find decent friends on there for those who have it I'm happy to explain if Need be,"Sorry man, PC masterrace here. Hope you'll spruce up your friend list nicely.",0,Sorry man|,Sorry man,Sorry man
"third person?. Do you guys ever feel like living in 3rd person? Like not actually there in the moment. I feel like watching a tv show, where not actually in it, just watching it go by.",All the time. Ive made hundreds of impulsive decisions and burned so many bridges based on this feeling.,0,,,
Remeron and nightmares?. Anyone else experiencing nightmares while taking mitrazipine/remeron?,I think most anti-depressants give you nightmares. Both my mom and I take them and we both have horrible nightmares. You get used to it.,0,,,
How the hell do i tell my parents i have a social phobia. Its honestly the hardest thing in the world,"There's no better person to tell someone something than a nurturing mother. They typically love you unconditionally. Friends and significant others get a scent of the depression on you and they distance themselves as it becomes a deeper problem as opposed to helping. If your mother loves you, she will understand.. And it's not like you are admitting you have gay sex or addictions to banging drugs up your arm or killed someone... This is (not to be insensitive) remotely benign to say to your family.. They might be able to recommend something that helps..",0,There's no better person to tell someone something than a nurturing mother. They typically love you unconditionally.|And it's not like you are admitting you have gay sex or addictions to banging drugs up your arm or killed someone... This is (not to be insensitive) remotely benign to say to your family..|,There's no better person to tell someone something than a nurturing mother. They typically love you unconditionally.,And it's not like you are admitting you have gay sex or addictions to banging drugs up your arm or killed someone... This is (not to be insensitive) remotely benign to say to your family..
I fucking hate myself.. I constantly repeat to myself that a worthless piece of shit and no one gives a shit about me. Why the fuck am I like this?? Why I just be fucking happy? Fuck me.,"A voice in my head whispers your nothing, failure, everyone hates you. But in the quiet it's like they're screaming in my ears. It makes doing anything so hard. I just wanna sit and cry but I can't even do that right",0,,,
"Told my friend I want to CTB. Literally just told him i wanted to catch the bus. He asked me what it meant and I said suicide, his response was Oh wow i haven't heard that term before and walked off. Lol fml","Wow, if you need to talk about it, you can DM me.",0,"if you need to talk about it, you can DM me.|","if you need to talk about it, you can DM me.","if you need to talk about it, you can DM me."
I really would like to pour out my problems if someone will listen.. i will try not to overwhelm,"I will. I'm a heroin addict and sick as hell. I'd like someone to talk to, too. PM me.",0,"I will.|I'd like someone to talk to, too. PM me.|",I will.,"I'd like someone to talk to, too. PM me."
"I gotta admit, depression has made quite strong man. Feels good to feel emotionally strong","a cool way of looking at it, I have never felt that way but I hope I can one day. Cheers!",0,,,
I'm not okay and I'm not going to be okay.. I've never been okay before. It's all pointless.,"Sometimes, I feel like this is okay though. The not being okay. I think there's this expectation we all have just because everyone else and everything around us shows this picture perfect life that is normal. Also, I get to the opinion sometimes that when none of it matters, it's actually the most liberating, because then I am truly free of my worldly concerns. I don't know. Silver lining and framing and all that jazz. Best of luck, friend.",0,"Silver lining and framing and all that jazz. Best of luck, friend.|","Silver lining and framing and all that jazz. Best of luck, friend.","Silver lining and framing and all that jazz. Best of luck, friend."
I wake up and just want the day to be over already.. Like I have nothing to look forward to.,I know the feeling. I'm just so tired. I don't want to play this game anymore,0,I know the feeling.|,I know the feeling.,I know the feeling.
There is no help.. You are on your own.,"You are on your own, which gives you the power to turn it around! You are not your mistakes, your past, your parents, your bully. You are a person doing the best they know how! You can ask for help, but it is up to you to accept it. Loving yourself is difficult and getting to that point is painful",0,"You are on your own, which gives you the power to turn it around!|","You are on your own, which gives you the power to turn it around!","You are on your own, which gives you the power to turn it around!"
"4:56am/8.29. 25. not sure when supposed to be doing. Even as I write this my eyes are too blurry to see. not sure who is reading this, But just know not okay.","I get it too. I slept in 3 nights, my mind is ablaze! having a really tough week too in my struggle with depression, but before this week, I had three really good weeks. Hang in there! Some days are just harder than others. Sometimes I try falling asleep to a meditation music playlist, sometimes that works for me, I can focus on the sounds instead of my thoughts. Just take it one day at a time and know that you are not alone! I hope tomorrow is a good day!",0,Hang in there! Some days are just harder than others|know that you are not alone! I hope tomorrow is a good day!|,Hang in there! Some days are just harder than others,know that you are not alone! I hope tomorrow is a good day!
Feeling lonely and would love to hear about why you feel depressed and I’ll tell how I feel. The title says it all. Just pm me if interested,"Haha, how much time you got?",0,,,
Life is $$. I can only afford to die,"Time is money, they say. I've got all the time in the world and Im just throwing it away. Might as well save some other people some time by stopping mine.",0,,,
Depression as time goes on. Suffering years of depression has led to not feeling much anymore. I've accepted that it's how it is but the depression is still there. Not sure if anyone else feels similar. Have a good new year r/depression.,"Yea, I feel you. Or can't really say that now can I :/ Sometimes when I get a moment of happiness it feels like I was drunk, but the moment goes fast. I don't know how anything feels really, all I know is disappointment or sadness. I am all the time exhausted since I have to put on a show for people, when all I want to do is to close up and go to dance practices. I think the biggest thing I wish would fix itself is that I could feel safe, not walking on constant eggshells:/ Have a happy New Years, I hope this new time brings you all reading this some hope, some recovery, some love, some kindness... sending lots of good energy to your way!",0,"Yea, I feel you.|I hope this new time brings you all reading this some hope, some recovery, some love, some kindness... sending lots of good energy to your way!|","Yea, I feel you.","I hope this new time brings you all reading this some hope, some recovery, some love, some kindness... sending lots of good energy to your way!"
Lonely.. I feel really really lonely after my ex gf left me for the second time cause she wanna handle my mental state. Can I have some company pls?,Very sorry to hear it. She came back the first time?,0,Very sorry to hear it.|,Very sorry to hear it.,Very sorry to hear it.
"I just feel pretty shitty about myself right now. I dont know, life is better than it was before but I just cant seem to actually be happy. No matter how many happy moments, great days, at my core I think I will just always be unhappy","i feel like that, like family get togethers were much more exciting and now its like dead, not depressing but not the same",0,,,
"I want to die, but I don't want to die. Will this painful feeling of being torn ever be over?",I asked my therapist last week the same question and she promised that it would pass and get better. So to hoping she was telling the truth for both our sakes,0,,,
does anyone else get the feeling.... when you just ache on the inside like something's missing but you don't know what. and all you can do is smile through it because...what else is there,I feel like this all the time and I am never sure what I am looking for. I really wish I had a passion in life like some people have. Sadly I have not found it yet. I never felt that strongly about anything. Maybe I need girlfriend.Maybe I just need more friends. Maybe I need a different job.Maybe I need to to work things out with my farther. Or maybe I just need to be able to really talk to someone.,0,,,
"If I wanted to kill myself, no one would be here to stop me.. I'm constantly depressed and everyone is always busy.","I feel the same. I do my best to push through every day and hope tomorrow will be better and it never is. Please don't do it. If I'm still here, you better stay too.",0,"Please don't do it. If I'm still here, you better stay too.|","Please don't do it. If I'm still here, you better stay too.","Please don't do it. If I'm still here, you better stay too."
There is literally nothing anyone can say to me that would convince me to not kill myself today. All I've ever wanted is for someone to convince me that life is worth living. But NO ONE can fucking do it. Life is really that fucking bleak.,"I'm not going to lie to you and say there's a point in life. Because I don't think life has any point at all. The only think I can say is if you have friends, maybe you can talk to them. If you don't have any friends or know anyone, then everyday is a living hell..",0,,,
I think it's suicide for me tomorrow. No longer have the will to keep going.,"Hey. I know who you are, what doing or even thinking right now, but I do hope that still here for now at least, and reading this comment. really sorry for how feeling right now, and even though been through this for the last 2 years already, I say that I understand how you feel; even though I wish that I could. But please, please know that if you still need to talk, you could message me yeah? This truly is a really shitty world; but in light of all this, there are still people who are genuinely kind, who would really want to help. Being a beacon of light for those who are still suffering and letting the light from others shine onto you; this the purpose of living? The purpose of still staying here?",0,really sorry for how feeling right now|,really sorry for how feeling right now,really sorry for how feeling right now
"Does anyone else feel like being alone actually helps depression?. It's strange but it seems like when I'm away from people I can just be myself and do whatever without anyone criticising me, and I can also just enjoy the silence.","When i have good days i think about what was different. Many times my good days are ones i spent someplace else by myself. Like a town the next county over, for example. Recently i went into a city at dusk and just walked around by myself. I was never alone but i wasn't around anyone who knew me. It was good. Didn't end the dep but it was good.",0,,,
"My diet becomes fucked when i get depressed.. I can't control myself in the grocery store when I'm feeling down. Chips, cookies, soda, cake, you name It. Anyone else a stress eater?","By any chance do you think you're in a loop. Junk food can make you depressed. And being depressed probably makes you eat more junk food? For a while that was my problem too. Even if its just random, ill probably binge and feel bad later. Only to indulge in more later to try to cheer up.",0,,,
I just want someone to care and show me some love.. Is it too much to ask?,Same AF. Good luck OP!,0,,,
"Currently sitting at the water's edge, wanting to jump. Don't worry I don't think I actually will.",Why? Do you want to talk about it? Whats made you feel like wanting to?,0,Do you want to talk about it?|,Do you want to talk about it?,Do you want to talk about it?
I dont know whats going to heppen but i hope it helps. Ive completely given up on myself so im just going to shove myself into some hospital until i get better. Im tired of feeling like this. If this doesnt fix me then i dont think anything will.,"Good luck friend I wish you the best. There have been multiple times where I wondered if this was a good idea for me, but I have 3 pets at home so it could never be an option unless I were married or something. Lol. Anyway, know you are brave and I am so proud of you for taking initiative to help yourself. You deserve to get better and I believe in you!",0,"Good luck friend I wish you the best.|Anyway, know you are brave and I am so proud of you for taking initiative to help yourself. You deserve to get better and I believe in you!|",Good luck friend I wish you the best.,"Anyway, know you are brave and I am so proud of you for taking initiative to help yourself. You deserve to get better and I believe in you!"
I can't sleep. I wish I could hear someone singing a lullaby to me,"Neither, got drunk to try sleep but instead im going to be sleep deprived and hungover for christmas :D",0,,,
"I just had a dream where the girl of the dreams came up to me and I asked her out. She said yes and she told me she loved me. We got married later. Then I woke up.. Words can't describe the frustration and pain in my chest right now. Edit: It sucks right now because she's abroad right now, she comes back next month. I'm not gonna hold in my feelings anymore, I'm gonna ask her when she comes back.","And this is why I am sleeping like 12 hours a day now. In my dreams, everything is great. Then I wake up and it is like F*ck me, not",0,,,
I'm just having a really bad time right now. Anyone want to be friends and vent with each other?. Pretty much the title. Im a 19/m from the UK.,Hmu if you want to talk.,0,Hmu if you want to talk|,Hmu if you want to talk,Hmu if you want to talk
"I saw a tree full of blooming pink flowers. It was beautiful.. I'm really trying hard to look around and see the good things that are in the world. My life might be in turmoil, my mentality negative, my hopes low... but still, to notice and recognize something as simple as a tree with flowers... that's special. I just wanted to share.",I love going to forest Parks and looking at all the plants and animals. It helps to a certain extent.,0,,,
Everyone's having fun with their summer while I'm here hating life. I used to enjoy summer... Not anymore,Move to Australia. winter there,0,,,
Elevated mood for ~6 hours then back to hell?. Anyone else have an elevated mood for a couple hours then right back to depressed? Seems like go a week or two not wanting to live then be on top of the world only for this pattern to repeat itself a few hours later,"Highs and lows, just the cycle of depression, the key is understanding what set you down that low, a bad test score, relationship issues, new work load, money issues. Then once you can identify your triggers you can make some plans to avoid them or change what made you drop in the first place",0,,,
I feel like I am slowly decaying in this house all alone and no one cares. Every day is the same. No one messages me. No one cares. I have nothing.,"I feel like that everyday, my family just walks past me and says nothing. But I feel its blatant disrespect, as I could be using a light and come turn it off while using it... sucks. No one texts me, when I try to play games no wants to play. I have nothing as well, and I honestly want to go...",0,,,
How do you manage to be happy with a full time job?. There's nothing I would ever do 8 hours a day voluntarily. How does one make this bearable?,Sometimes it's not a matter of choice. But if one stays open for opportunities... sometimes one comes along.,0,,,
Anyone else feel incapable of being happy?. No matter how good things are I just can't seem to be happy.,I just feel like I don't have a purpose. Like while I need things to survive. The things I need don't need me.,0,,,
"Cleaned my bedroom, closet, and bathroom this morning. Can't slit your wrists in a moldy bathtub","There is nothing more rewarding than seeing actual results! Congratulations on having a clean bedroom and bathroom. Don't forget that cleaning it the first time after a period of neglect is always the most work. If you continue to keep those places tidy, it will be much easier and quicker the second time around.",0,There is nothing more rewarding than seeing actual results! Congratulations on having a clean bedroom and bathroom.|,There is nothing more rewarding than seeing actual results! Congratulations on having a clean bedroom and bathroom.,There is nothing more rewarding than seeing actual results! Congratulations on having a clean bedroom and bathroom.
Feel so lonely and hopeless... My mind even clear enough to articulate my thoughts to write here clearly. I just feel so lonely and want to die.,"YOU ARE NOT ALONE!!!! You posting here proves that. No matter what give up. There is always a better day, a better year, and a better life. There is so much help waiting for you. Talk it all out here if you need to, we judge and we can all relate. Please rob the world of your life! PM if you need help or need to talk, always willing to!",0,"Talk it all out here if you need to|PM if you need help or need to talk, always willing to!|YOU ARE NOT ALONE!|",Talk it all out here if you need to,"PM if you need help or need to talk, always willing to!"
"When my account hits zero, that's when I'll kill myself. Just wasting my money on food and weed constantly. Who cares. I saw this coming. Soon there won't be any money for gas. No time for work. Just death.",Stop the weed it works for.skme people,0,,,
I feel like if I had someone to hug IRL I would be so much happier. Too bad I can't even tell my family about my depression...,Yes. I will never tell anybody about my depression. Kinda sucks,0,,,
Does anyone elses depression get worse at night?. I think a lot of has do with not doing anything all day and just makes me feel like shit. The darkness doesn't help my mood either. Edit damn I really thought it was just me. Sorry everyone depressions a bitch.,Yes. At the weekend I try to do everything I need to do when I wake up as always get depressed in the evenings,0,,,
"Yes, I know that exercise helps with depression. No, I don't have the motivation to do it.. This is a viscous cycle lads",I do it because it gets me tired. It also kind of makes me forget about it for a while. It wears me down.,0,,,
Help. I’ve only gone to get meals 3 times in the last 3 days.. Hungry but just get out of my dorm,maybe you could order something for delivery?,0,,,
I’m so fucking tired.. Just of everything. I want to take a nap and never have to wake up. What a fucking dream that would be.,"take a nap with you if it meant never wake up. Do you believe there is a point to living besides to die?? Perhaps you could dream about that? A new life, a better life. Where there is a clear purpose.",0,,,
"Can't move. I don't want to expose myself to the outside world right now. They always ask me what I do. Right now, I'm not doing much. I feel extremely heavy. I can't move and I just want to die.","What seems to be weighing you down lately? If you need someone to talk to, I'm here. :)",0,"If you need someone to talk to, I'm here.|","If you need someone to talk to, I'm here.","If you need someone to talk to, I'm here."
I just want..... a friend...... is that too much to ask for? :/,Same its so hard to make one.,0,,,
"Swear to god, what am i even doing. Idk why I wake up like this some days. Wake up really really early, feel sick, anxious, guilty, try and go back to sleep but i cant because im feeling all those shitty things. Inevitably my alarm goes off and I procrastinate getting out of bed until the last possible second, sometimes not even then. and then feel like shit all day. I was feeling better. What happened...",Depression can be cyclical. Our brain's chemistry gets out of whack and we feel like crap for a few days and then we feel better when it gets back to normal. Good luck and try to push through it.,0,Good luck and try to push through it.|,Good luck and try to push through it.,Good luck and try to push through it.
"I was basically told by two people today that I need to lose weight.. Not feeling so great about myself today. First, my psychiatrist brought it to my attention this morning that gained 20lbs and that we should discuss this. She recommended a dietitian for me to see. Then my neighbor told me that I should start running with her in the mornings because how gonna get Totally unsolicited too. I bring anything up about weight or working out. I have a hard time feeling good about myself on a good day. Today, I just want to eat my feelings.",I feel you there and I am so sorry! Those people suck!,0,I feel you there and I am so sorry! Those people suck!|,I feel you there and I am so sorry! Those people suck!,I feel you there and I am so sorry! Those people suck!
"I decided to fight back.. I've been fighting against it for a long time, and we all have. But I decided to fight back.",damn thats actually really smart never thought of that and hows physuics going?,0,,,
"Trying to gain the courage to drive myself to the mental health crisis center. This is terrifying. I know I need to do this.. No need to comment, I just felt like I needed to share. Perhaps being held accountable will help.","I've been there. Terrified of being labeled, getting locked up or my child taken away. Losing my job, as the sole breadwinner that's the last thing I need to have happen.Truth be told, I should have done it much sooner rather than trying to stick it out for 2 years. You wont regret it.",0,You wont regret it.|,You wont regret it.,You wont regret it.
"My breakdowns are mostly at night/before I'm planning to sleep. At daytime there are at least some things that keep me distracted, but at night, it's only me and my shitty thoughts. I can't remember the last time I fell asleep with a confident/happy feeling.","Same here. Alone in my room at night is the only time I can openly display what I feel all the time and hide from everyone. It's sad but freeing at the same time, y'know? For me, catharsis at its finest.",0,,,
The only problem left when you find the cure.... You don't have the energy to employ it.,"The cure is less stress and ways to de-stress. Then your brain will start operating better. Why? Because you don't have energy, focus, clear thoughts, motivation and thousand other things precisely because of too much stress that got out of hand and you can't handle it anymore. I'll give you one example. Do you know what happens when there is too much cortisol? Look up high cortisol symptoms. So to unravel these symptoms is to only go in reverse, by finding ways to constructively de-stress.",0,,,
Kill me.. Nothing helps. No one says anything positive. I'm just a waste of space. I know all my friends could get by without me just fine. No one cares about me. I wish I were dead..,"Sometimes the suffering gets too much, you know? I'm in a similar situation to you.",0,,,
How toxic is it. Can you die of muriatic acid?,"Oh shit man please fucking don't. Firstly death by acid is more painful than having your DNA ripped apart by radiation. Secondly, explain your life situation to me and we can talk, I'm here for you",0,Oh shit man please fucking don't. Firstly death by acid is more painful than having your DNA ripped apart by radiation.|,Oh shit man please fucking don't. Firstly death by acid is more painful than having your DNA ripped apart by radiation.,Oh shit man please fucking don't. Firstly death by acid is more painful than having your DNA ripped apart by radiation.
I’m terrified of committing suicide but I can’t stop thinking about it.. Almost daily I think about it because I see no other way out of my current life. It scares the shit out of me that I think about it so much.,"I feel you. I just about jumped off a building a few weeks back, it scares the shit out of me",0,I feel you.|,I feel you.,I feel you.
Is it okay to take two welbutrin? Can't find the time or motivation to see a doctor to up the milligram.. Can't remember what I'm taking right now but I'm starting to think I need more.,I would consult the doctor before doing anything because a certain amount of one medication can affect others.,0,,,
